node_key,difference
03ec14b32ef4f13995a2d16bbe04875f69c35287c9db73c3c94cf7e491dac391a3,1433315
02548eb610ebdcd1e2ec95f0f58702ba4f97eab9c7a1db725b940e3e8ce409a619,1433097
02979996e66bc361a9791f08f0c59d59b3a8e14310f124330bc05cf609a2c2b936,1432846
024383f28b917f820e8bc7e7c958d75eafc90ce6c5ae42820a1b15a12cb212bf48,1431911
03da174f1e8106cd638222ce7b0e0d029fbd7cc9f0cc64ac09c4a4bf528b2aecf2,1431874
02079eec1b9731ff29ea1d2a33995579c3c6dffa6d4c16a6b8bff473f03691ded4,1431718
02521547064ae749da5557217e824bd2e0e2838f1ba5bd60f79f97cd3146b8d3a0,1431289
02243a9bc7dbb2f6c789dd10816f55c596df0afd93882e8f9c3533d0640bcc14b2,1430618
03cdc4a3a407b6ec3c113ccc231635779038c5423fd075da0587e6628b7afdc304,1430281
035efb122b67e242379dd59d6789bec7629af6aceae1cc470aac913f69f24437c8,1430018
038ac2f55d2f42dbe50b72a10fe3fe771564b5c2b052461e44de9f4dba9e3e9cc0,1429958
03ea320266fe850b2d1b46b772c3248d6aaf957ffba14d3612ce294cba2390b231,1429297
03a217e75487d89e9002a23d10fd9cbc2e5842bec6d40b1338c705c71b53dd7d14,1429087
024a7c957979f6912f5ff6cad569451217ccc7c89d81772bcf43aec7a788ac38c6,1429071
02b24df72b2e46c31c0dab51e7555f4178e291dbcc334496a97ed96130df791f2e,1428997
03024059b983679c1aba559d18e7b9005d520918d0b7156e7fec64b549b4e13628,1428935
03dafcbdd06bb0c9ae53afc7bcb7b277f0fdf31305fa1aa32adb5b4d362c4f902e,1428858
0302eb5acd334f65714b22668f941c77b330b702708d2d49a93d23b6e25197e0b8,1428852
02ed9e22c618011c40f48183acd81b507ee8caf49a32ab5f00ed69c61558a909e5,1428831
033194c6298c7ef9ad58a51d82d97dac662b8d433112cb21e8dabc108f2b1f75cb,1428831
02ed6366eb01c159e83cbf4c08b95b7eb51af848f29ecbe6ae6aad886cc4baa00a,1428825
02e6e50eb598ce6ea4ed38ba0b7f4668ecfb3e0308d7629216da066f65a7bc7f00,1428824
0233d22091421ec57b35b2de9d302599d063e30942cf83476a0acdce94e8557c60,1428818
03e0b0a010bffb0b648ade6a2877cd04e2659f392c75d886dbdfac000c77bbc537,1428815
03001fc7ad41bb110685900ccfeafadb8d23a51383596336e6573ce926cf3f8e28,1428808
03cf940120c1daa18ac489aa6c76fc6f920f63f757ccc871f05044cefc985ae660,1428807
0287c8c05eca54dd807afc776fde8d3650b5e4dca6d1c620d6af9d20b991c6a2fb,1428805
03acfb55ba3e21e9a398223ac5aa292e15776bd60b437eddc963cf2422c857bb52,1428798
032eeaac2ca18266dadf2d522c63d7f5744ab5180a336c05787cfae16e121ebe38,1428796
030c9d5b1be086d55560636f611b6f0ad10c27be72f307c25abf2ee479c039eb5e,1428783
02ceebe5a2c513282394ecd2cea99838e1e53bcaa18ea6cd722d1370877ace10fe,1428773
02e59de2b01936c6272959cbd024603b1e4953fe4c5444f95295206f1e96078f80,1428772
028b0f135e61f2e14041642d0d5bc680efe63d7a29ce6bd5ef38402dd04d3391a4,1428676
022dbacb8d4e9da4b67743e1818fcd3dea2094dedc5b0148550f64bd17613e23f6,1428669
023f8392ee8c8d9752d1d17ebea734035849f131e2a869acd0078055cb12cae012,1428664
03ce7a8fc1c1524aacbe2f3d5ab8b2fcf55871d48fd19ecf826b3433ba9a64eeda,1428663
031339723e4b7d57c5684f9294243f433940cbef5ed1792a97740e02e7951d35e7,1428662
02a0a736517cef42a62a9575e7682941774459c74347e47bfc96b5e09f9635bb64,1428660
0290a1fcc31306a9abdce4cd1c66bc7a0af2232144e683938e801340bdac9424d7,1428651
023d404e6201b15fe416b7ccea8e1571eabb31a6cf1372b8a012a1437c9b8ce09b,1428642
0364b570f28a63885e01c79beeac23b596dd5a67b5ec57c13668d5288d8fdf4606,1428614
0331181ef5182740a7d8cc4298c274feedfd9308768f3ce84d60beb28ce380d8f2,1428609
02a531ae0bebc4999d98d0e8ee8437b32b0b058900704a9b2800e0396a7fd6ddd6,1428599
03c910f9273c8048ed60b2efdc15d1f9c8c93b599febe44e6a490a38e5cbc449d9,1428594
03a4785e09e09434a7346a0c452103fa9070facd10e32269d037a683b861f52230,1428593
03625128f8d9c10b8c2adee9cce44f64444ba646480260447d406e12b49212c298,1428589
0371dfc6680ed34a32e58aea11d1e0c2fcd15a85489a4ea50822bbcdfd33100ea1,1428542
030b7be947fad78e8c61990156220dcbcbf7c0d10ae579b1ccac18c3796205ab7f,1428500
0302479fed6fa7786bfd30864be251138856ced35c2845596e84c8f4073323df17,1428487
030c4f85ddd0a7961c8f8c8992ea3e0bcfe15991f94eb323d2ba3154acebc2f7b7,1428483
039b4e9394cba8aff4db0508a3df91785f29de2ece0be2c7ed90ce0c8f0c640509,1428479
038df8c1a760e996ad700ad51e714a27049584541c7b58e72c4419b60502070f57,1428475
03453886950a3226f774934cdc9ecf070bcc13a6a1c6b7aa38094c6976ea7c21c7,1428473
03a8ab5e2ed3fbccd56d9463f35ed629652b33edd6fa9892996296c57a649b00e5,1428465
0258f3b91d34ae58967bb2c022f2f7a9bdecc01601fcf291e4e7ad9e22913475e5,1428460
02cf3c5fdba15299e2d066bec0651ff729346db929f60c86f169e910d019a15b64,1428459
0335a9b730ea405f6666886c60b818e22ed6c21af27b9322a433bcfb3710e4d7e0,1428449
03d64cfed8305513a2d2cf7bdef3e8aff9825a8feb165794e14f42fc618cbaa816,1428445
